"first_word","second_word","Freq"
"come","in",138
"i","swear",138
"is","at",138
"little","bit",138
"me","i",138
"no","way",138
"the","door",138
"this","has",138
"was","no",138
"a","full",137
"and","on",137
"anyone","else",137
"day","i",137
"everyone","is",137
"friends","and",137
"his","own",137
"it","feels",137
"next","week",137
"put","it",137
"s","been",137
"the","year",137
"to","mention",137
"to","those",137
"we'll","be",137
"why","the",137
"focus","on",136
"glad","i",136
"i","bought",136
"in","some",136
"less","than",136
"maybe","i",136
"opportunity","to",136
"picture","of",136
"say","i",136
"that's","the",136
"to","not",136
"all","your",135
"always","been",135
"do","something",135
"excited","for",135
"know","why",135
"love","with",135
"of","how",135
"our","new",135
"t","get",135
"two","of",135
"up","at",135
"version","of",135
"we","did",135
"will","also",135
"an","awesome",134
"and","had",134
"day","is",134
"had","some",134
"it's","like",134
"meant","to",134
"the","number",134
"them","and",134
"thing","about",134
"things","to",134
"time","with",134
"to","some",134
"work","with",134
"are","now",133
"asked","me",133
"create","a",133
"do","have",133
"feels","like",133
"i","even",133
"i","live",133
"i","needed",133
"join","us",133
"no","more",133
"nothing","to",133
"people","have",133
"what","kind",133
"with","their",133
"with","us",133
"a","child",132
"and","an",132
"day","in",132
"even","a",132
"for","their",132
"have","seen",132
"help","you",132
"is","as",132
"is","such",132
"its","a",132
"know","where",132
"on","her",132
"the","family",132
"to","just",132
"would","make",132
"are","very",131
"as","far",131
"hate","when",131
"most","people",131
"t","really",131
"that","makes",131
"tired","of",131
"to","become",131
"what","he",131
"a","story",130
"but","now",130
"decided","that",130
"everyone","who",130
"great","time",130
"half","of",130
"he","did",130
"i'm","glad",130
"i'm","still",130
"i","take",130
"it","wasn't",130
"said","the",130
"something","i",130
"the","difference",130
"to","turn",130
"at","that",129
"far","as",129
"having","to",129
"i","were",129
"if","only",129
"is","being",129
"means","that",129
"rt","if",129
"say","it",129
"see","my",129
"should","i",129
"than","i",129
"the","latest",129
"the","third",129
"thinking","of",129
"your","life",129
"a","look",128
"feel","free",128
"he","can",128
"or","not",128
"put","on",128
"really","need",128
"right","to",128
"story","of",128
"talking","to",128
"thanks","so",128
"took","the",128
"also","the",127
"and","with",127
"anyone","who",127
"deal","with",127
"felt","like",127
"have","it",127
"i've","had",127
"like","my",127
"m","going",127
"only","to",127
"with","our",127
"all","have",126
"always","a",126
"are","no",126
"back","from",126
"doing","a",126
"have","one",126
"is","good",126
"it's","going",126
"not","too",126
"she","would",126
"a","lovely",125
"and","also",125
"and","i'll",125
"been","the",125
"day","and",125
"great","day",125
"more","to",125
