"first_word","second_word","Freq"
"boys","from",5
"boys","think",5
"boys","with",5
"bra","and",5
"brad","pitt",5
"brain","cells",5
"brain","to",5
"brand","and",5
"braving","the",5
"breach","of",5
"bread","for",5
"breaking","bad",5
"brenda","brenda",5
"brett","favre",5
"brewed","with",5
"brewers","and",5
"bricks","and",5
"briefly","in",5
"bright","colors",5
"bright","green",5
"bring","all",5
"bring","new",5
"bring","their",5
"brings","her",5
"britain","is",5
"broaden","your",5
"broke","a",5
"broke","and",5
"broken","out",5
"broken","the",5
"brother","got",5
"brother","just",5
"brought","down",5
"brought","two",5
"brown","ale",5
"browns","are",5
"browse","the",5
"brush","the",5
"bucks","for",5
"buddy","is",5
"budget","and",5
"budget","to",5
"budget","was",5
"build","it",5
"build","of",5
"build","the",5
"building","was",5
"buildings","are",5
"buildings","with",5
"built","into",5
"bulletin","board",5
"bummed","that",5
"bureau","of",5
"burger","and",5
"burned","to",5
"burning","of",5
"burst","out",5
"bursting","with",5
"bus","is",5
"business","development",5
"business","for",5
"business","model",5
"business","on",5
"business","owner",5
"business","trip",5
"business","when",5
"businesses","in",5
"businesses","that",5
"bust","a",5
"busy","but",5
"busy","making",5
"busy","month",5
"busy","weekend",5
"but","big",5
"but","certain",5
"but","come",5
"but","doing",5
"but","get",5
"but","going",5
"but","ima",5
"but","isn't",5
"but","later",5
"but","lets",5
"but","life",5
"but","lots",5
"but","man",5
"but","needed",5
"but","nobody",5
"but","oh",5
"but","others",5
"but","overall",5
"but","quickly",5
"but","should",5
"but","theres",5
"but","three",5
"but","us",5
"but","usually",5
"but","whoever",5
"but","within",5
"but","won't",5
"but","wouldn't",5
"butter","in",5
"buy","and",5
"buy","another",5
"buy","anything",5
"buy","in",5
"buy","more",5
"buy","new",5
"buy","or",5
"buy","our",5
"buy","tickets",5
"buying","more",5
"by","accident",5
"by","after",5
"by","at",5
"by","chris",5
"by","comparing",5
"by","design",5
"by","example",5
"by","humans",5
"by","john",5
"by","just",5
"by","law",5
"by","new",5
"by","none",5
"by","paying",5
"by","placing",5
"by","running",5
"by","simply",5
"by","speaking",5
"by","stating",5
"by","talking",5
"by","these",5
"by","turning",5
"by","voting",5
"by","writing",5
"c","and",5
"cake","cake",5
"cakes","are",5
"call","an",5
"call","upon",5
"call","with",5
"call","yourself",5
"called","an",5
"called","back",5
"called","her",5
"called","upon",5
"calling","a",5
"calling","her",5
"calling","in",5
"calling","my",5
"calls","the",5
"calls","today",5
"calls","us",5
"cam","newton",5
"came","close",5
"came","right",5
"came","time",5
"camera","was",5
"camp","in",5
"campaign","and",5
"can't","argue",5
"can't","ask",5
"can't","call",5
"can't","deal",5
"can't","hold",5
"can't","recall",5
"can't","save",5
"can","accomplish",5
"can","alter",5
"can","begin",5
"can","burn",5
"can","clearly",5
"can","confirm",5
"can","cope",5
"can","decide",5
"can","experience",5
"can","explain",5
"can","express",5
"can","fly",5
"can","grow",5
"can","hook",5
"can","in",5
"can","include",5
"can","inspire",5
"can","match",5
"can","open",5
"can","practice",5
"can","produce",5
"can","raise",5
"can","reduce",5
"can","resist",5
"can","ride",5
"can","seem",5
"can","shop",5
"can","substitute",5
"can","suck",5
"can","survive",5
"can","usually",5
"cancel","the",5
"cancer","and",5
"cannot","change",5
"cannot","remember",5
"cannot","say",5
"cannot","think",5
"cant","figure",5
"cant","stand",5
"cant","tell",5
"cant","you",5
"cape","town",5
"capture","and",5
"captured","in",5
"captured","the",5
"car","or",5
"card","from",5
"card","of",5
"cards","that",5
"cards","to",5
"cards","were",5
"cardstock","and",5
"care","is",5
"careers","and",5
"cares","if",5
"caring","about",5
"carried","a",5
"carried","in",5
"carrot","cake",5
"carry","her",5
"carrying","a",5
"case","brought",5
"cases","are",5
"cases","where",5
"cast","off",5
"cat","and",5
"cat","has",5
"cat","in",5
"cat","that",5
"catch","it",5
"catch","us",5
"caught","me",5
"cause","all",5
"cause","he",5
"cause","its",5
"cause","no",5
"cause","this",5
"causes","me",5
"ceased","to",5
"celebrate","celebrate",5
"celebrate","national",5
"celebrate","this",5
"celebrates","the",5
"celebrating","a",5
"celebrating","national",5
"celery","and",5
"centers","for",5
"central","to",5
"centuries","of",5
"certain","of",5
"certain","way",5
"certificate","to",5
"chair","is",5
"chairs","were",5
"challenge","the",5
"challenges","of",5
"champions","of",5
"chance","he",5
"chance","in",5
"change","anything",5
"change","can",5
"change","on",5
"change","things",5
"change","up",5
"change","what",5
"changed","for",5
"changed","from",5
"changed","into",5
"changed","so",5
"changes","have",5
"character","development",5
"characteristic","of",5
"charge","for",5
"charges","against",5
"charges","of",5
"charlie","sheen",5
"charter","schools",5
"chased","by",5
"chasing","a",5
"chatting","about",5
"chatting","to",5
"cheaper","and",5
"cheat","on",5
"cheated","on",5
"check","if",5
"check","into",5
"check","our",5
"check","their",5
"check","this",5
"checking","back",5
"cheeks","and",5
"cheese","for",5
"cheese","in",5
"cheese","is",5
"cheltenham","festival",5
"chemistry","between",5
"cherry","blossom",5
"chick","who",5
"chick","with",5
"chicken","on",5
"chicken","strips",5
"chicken","was",5
"child","or",5
"children's","book",5
"children's","books",5
"children","at",5
"children","had",5
"chillin","at",5
"chinese","food",5
"chip","cookies",5
"chock","full",5
"chocolate","is",5
"chocolate","milk",5
"choice","i",5
"choices","we",5
"choked","on",5
"choose","not",5
"choose","which",5
"chop","the",5
"chosen","a",5
"christian","church",5
"christmas","card",5
"christmas","in",5
"christmas","music",5
"church","or",5
"church","this",5
"church","we",5
"circle","was",5
"cited","the",5
"city","as",5
"city","catering",5
"civil","society",5
"claimed","he",5
"clarity","and",5
"clash","of",5
"class","has",5
"class","this",5
"classes","for",5
"classical","music",5
"classified","as",5
"clean","your",5
"cleaned","the",5
"cleaner","and",5
"clear","as",5
"cleared","out",5
"clearing","the",5
"clearly","had",5
"clearly","see",5
"clever","and",5
"client","to",5
"climbed","the",5
"climbed","up",5
"clock","is",5
"close","i",5
"closed","in",5
"closer","than",5
"closest","friends",5
"closet","and",5
"cloud","in",5
"clouds","were",5
"cloudy","and",5
"club","has",5
"club","in",5
"club","was",5
"clue","where",5
"clung","to",5
"coach","was",5
"coat","and",5
"coat","with",5
"coats","and",5
"cocktails","and",5
"coconut","oil",5
"code","in",5
"coffee","break",5
"coffee","house",5
"coined","by",5
"coke","and",5
"cold","as",5
"cold","beer",5
"cold","but",5
"cold","that",5
"collaborate","with",5
"collaboration","between",5
"collaborative","work",5
"collect","a",5
"collected","in",5
"collection","has",5
"color","i",5
"color","me",5
"color","or",5
"color","scheme",5
"colored","her",5
"colors","that",5
"colours","and",5
"colours","are",5
"column","is",5
"come","at",5
"come","find",5
"come","of",5
"come","play",5
"come","prepared",5
"come","right",5
"come","take",5
"come","you",5
"comes","at",5
"comes","when",5
"comforting","to",5
"comin","back",5
"coming","at",5
"coming","by",5
"coming","your",5
"comment","for",5
"committed","suicide",5
"committing","to",5
"community","has",5
"community","health",5
"community","members",5
"companies","to",5
"companies","with",5
"company","who",5
"company","will",5
"company","you",5
"compare","to",5
"compared","the",5
"complains","about",5
"complement","the",5
"complete","lack",5
"complete","list",5
"completely","out",5
"complexity","and",5
"component","of",5
"component","to",5
"composition","of",5
"computer","and",5
"concern","and",5
"concerned","to",5
"concert","at",5
"concerted","effort",5
"conditions","that",5
"conference","room",5
"confessed","to",5
"confident","about",5
"confirms","that",5
"conflict","of",5
"confront","the",5
"confusion","of",5
"congrats","for",5
"connection","and",5
"connections","and",5
"conscious","and",5
"consciousness","of",5
"consider","what",5
"considered","as",5
"considering","all",5
"considering","my",5
"considers","the",5
"constantly","being",5
"consumed","by",5
"consumed","in",5
"consumers","are",5
"contact","your",5
"contained","a",5
"container","of",5
"containing","a",5
"contains","some",5
"contest","for",5
"contest","was",5
"context","in",5
"continue","as",5
"continue","this",5
"continue","with",5
"continued","in",5
"continued","on",5
"continues","on",5
"continuing","our",5
"contributions","to",5
"control","is",5
"control","my",5
"convenient","to",5
"convention","center",5
"convince","you",5
"convinced","it",5
"cook","in",5
"cookie","sheet",5
"cookies","were",5
"cooking","lager",5
"cooking","spray",5
"cool","stuff",5
"cool","with",5
"cool","you",5
"coolest","thing",5
"copy","the",5
"corned","beef",5
"correct","me",5
"corruption","in",5
"cos","i",5
"cost","effective",5
"cost","them",5
"cost","you",5
"costa","rica",5
"costs","and",5
"costs","to",5
"could","and",5
"could","certainly",5
"could","either",5
"could","follow",5
"could","hold",5
"could","leave",5
"could","name",5
"could","no",5
"could","open",5
"could","potentially",5
"could","provide",5
"could","result",5
"could","sense",5
"could","sleep",5
"could","stand",5
"could","stay",5
"could","understand",5
"could","very",5
"could","well",5
"couldn't","ask",5
"couldn't","let",5
"couldn't","really",5
"couldn't","take",5
"couldn't","watch",5
"council","is",5
"counseling","and",5
"count","that",5
"count","them",5
"countries","and",5
"countries","are",5
"countries","have",5
"countries","with",5
"country","with",5
"county","sheriff",5
"couple","hours",5
"couple","who",5
"courage","and",5
"course","a",5
"course","as",5
"course","be",5
"course","means",5
"course","not",5
"course","some",5
"course","that",5
"court","for",5
"court","will",5
"cover","art",5
"cover","girl",5
"covers","of",5
"crab","cakes",5
"crack","me",5
"cracked","up",5
"crackers","and",5
"cracking","up",5
"craft","brewers",5
"craving","a",5
"crawl","in",5
"cream","was",5
"create","and",5
"create","jobs",5
"create","new",5
"create","their",5
"created","some",5
"creation","and",5
"creation","to",5
"creative","director",5
"creature","that",5
"credit","union",5
"creepy","and",5
"crew","and",5
"cried","at",5
"cried","out",5
"crisis","is",5
"crock","pot",5
"cross","country",5
"cross","is",5
"crossed","over",5
"cruel","and",5
"cruise","ship",5
"crumbs","and",5
"crux","of",5
"cry","from",5
"crying","at",5
"crying","in",5
"crystal","clear",5
"culminating","in",5
"cultural","and",5
"culture","has",5
"cup","is",5
"cupcakes","are",5
"cupcakes","for",5
"customer","is",5
"customers","to",5
"customers","who",5
"customized","for",5
"cut","down",5
"cut","each",5
"cute","as",5
"cute","to",5
"cuz","its",5
"cuz","that",5
"cy","young",5
"d","give",5
"d","got",5
"d","make",5
"d","much",5
"d","not",5
"d","prefer",5
"d","rt",5
"d","see",5
"d","wanted",5
"d","written",5
"dad","to",5
"dad","told",5
"daddy","is",5
"dalits","are",5
"dance","floor",5
"dancing","and",5
"dancing","on",5
"dare","i",5
"dare","say",5
"dares","to",5
"darn","good",5
"dates","and",5
"dates","for",5
"dates","to",5
"datuk","seri",5
"daughter","would",5
"david","is",5
"david","stern",5
"davidson","is",5
"dawn","of",5
"day","ahead",5
"day","are",5
"day","better",5
"day","brings",5
"day","celebration",5
"day","gift",5
"day","ill",5
"day","needs",5
"day","soon",5
"day","three",5
"days","as",5
"days","can",5
"days","he",5
"days","now",5
"days","old",5
"days","since",5
"days","they",5
"days","this",5
"days","without",5
"days","you",5
"de","facto",5
"dead","but",5
"dead","people",5
"deal","was",5
"dear","friends",5
"dear","god",5
"debate","and",5
"debt","to",5
"december","and",5
"decide","how",5
"decision","of",5
"decisions","that",5
"decline","and",5
"deeper","than",5
"deeply","and",5
"defeated","and",5
"defeated","the",5
"defence","of",5
"definitely","an",5
"definitely","been",5
"definitely","come",5
"definitely","did",5
"definitely","had",5
"definitely","make",5
"definitely","see",5
"definitely","would",5
"del","mar",5
"del","rey",5
"delicious","food",5
"delighted","that",5
"deliver","the",5
"delivered","the",5
"delivering","a",5
"delving","into",5
"demanded","that",5
"demanding","that",5
"demands","for",5
"demands","of",5
"demonstrate","that",5
"demonstrate","to",5
"density","of",5
"department","has",5
"department","store",5
"derrick","rose",5
"descendants","of",5
"describe","him",5
"describe","my",5
"describe","to",5
"describes","a",5
"describes","it",5
"describes","the",5
"deserved","it",5
"deserves","it",5
"design","the",5
"designed","a",5
"designer","or",5
"designs","and",5
"designs","of",5
"desires","to",5
"desperate","need",5
"despite","a",5
"despite","it",5
"dessert","is",5
"destiny","is",5
"destroyed","by",5
"detail","and",5
"detail","on",5
"details","at",5
"details","to",5
"determine","how",5
"develop","your",5
"developed","in",5
"development","will",5
"device","that",5
"dialogue","with",5
"dictates","that",5
"did","because",5
"did","buy",5
"did","end",5
"did","keep",5
"did","learn",5
"did","miss",5
"did","our",5
"did","seem",5
"did","someone",5
"did","there",5
"did","very",5
"didn't","bother",5
"didn't","catch",5
"didn't","change",5
"didn't","find",5
"didn't","he",5
"didn't","love",5
"didn't","notice",5
"didn't","try",5
"didn't","wanna",5
"didn't","watch",5
"die","a",5
"die","i",5
"die","of",5
"die","with",5
"died","down",5
"died","for",5
"diego","is",5
"dies","in",5
"diet","coke",5
"diet","is",5
"different","colors",5
"different","now",5
"different","person",5
"different","then",5
"difficult","as",5
"difficult","it",5
"dig","up",5
"digging","out",5
"digital","media",5
"dining","in",5
"direct","and",5
"direct","to",5
"directions","to",5
"directly","at",5
"directly","on",5
"directly","related",5
"director","at",5
"discipline","is",5
"discount","code",5
"discovered","in",5
"discovered","this",5
"discovers","the",5
"discuss","it",5
"discuss","with",5
"discussions","on",5
"disdain","for",5
"disgusted","by",5
"dish","and",5
"dishes","and",5
"dislike","the",5
"dismissed","the",5
"distinct","from",5
"distinguish","between",5
"distribution","and",5
"district","attorney",5
"diversity","of",5
"divide","the",5
"dm","u",5
"do","appreciate",5
"do","big",5
"do","go",5
"do","happen",5
"do","kind",5
"do","men",5
"do","most",5
"do","ppl",5
"do","seem",5
"do","such",5
"do","try",5
"do","us",5
"do","very",5
"doctor","told",5
"doctor","was",5
"doctors","have",5
"does","and",5
"does","better",5
"does","come",5
"does","everything",5
"does","give",5
"does","his",5
"does","in",5
"does","mean",5
"does","someone",5
"does","sound",5
"doesn't","bother",5
"doesn't","hurt",5
"doesn't","sit",5
"doesn't","stop",5
"doesn't","this",5
"doesnt","make",5
"dog","for",5
"dog","in",5
"dogs","in",5
"dogs","out",5
"doing","or",5
"doing","our",5
"doing","today",5
"doing","tonight",5
"doing","work",5
"dollars","a",5
"dominate","the",5
"dominating","the",5
"don't","fit",5
"don't","got",5
"don't","hesitate",5
"don't","i",5
"don't","lose",5
"don't","notice",5
"don't","recommend",5
"don't","run",5
"don't","sleep",5
"don't","spend",5
"don't","throw",5
"don't","wear",5
"don","quixote",5
"donated","to",5
"donations","for",5
"done","an",5
"done","but",5
"done","enough",5
"done","everything",5
"done","today",5
"done","what",5
"dont","ever",5
"dont","follow",5
"dont","mind",5
"dont","really",5
"dont","u",5
"door","as",5
"door","for",5
"door","that",5
"dots","are",5
"double","check",5
"doubt","a",5
"doubts","about",5
"dough","and",5
"dough","on",5
"down","before",5
"down","every",5
"down","it",5
"down","just",5
"down","our",5
"down","right",5
"down","so",5
"down","syndrome",5
"down","their",5
"down","while",5
"download","a",5
"download","and",5
"downloaded","and",5
"downside","to",5
"downstairs","to",5
"downton","abbey",5
"draft","is",5
"drag","and",5
"drag","me",5
"drag","the",5
"dragging","my",5
"drama","is",5
"drank","some",5
"drawn","with",5
"dream","in",5
"dreams","don't",5
"dreams","last",5
"dress","was",5
"drew","brees",5
"drew","me",5
"drink","coffee",5
"drink","until",5
"drinking","coffee",5
"drinking","the",5
"drive","on",5
"drive","slow",5
"drive","through",5
"driven","to",5
"drives","me",5
"driving","at",5
"driving","back",5
"drop","and",5
"dropped","in",5
"drops","the",5
"drove","around",5
"drugs","have",5
"drugs","that",5
"drying","in",5
"dt","have",5
"dude","im",5
"dude","that",5
"dug","in",5
"duke","and",5
"duty","and",5
"dvd","of",5
"dwelling","on",5
"e","mail",5
"each","chapter",5
"each","group",5
"each","individual",5
"each","is",5
"each","member",5
"each","moment",5
"each","to",5
"earlier","and",5
"early","birthday",5
"early","but",5
"early","tonight",5
"earn","a",5
"earn","more",5
"earn","the",5
"earning","a",5
"earth","can",5
"east","and",5
"easy","task",5
"eat","food",5
"eaten","by",5
"eating","an",5
"eating","dinner",5
"eating","disorder",5
"eating","it",5
"eats","and",5
"economic","development",5
"economic","policies",5
"ed","and",5
"ed","sheeran",5
"edge","and",5
"edited","by",5
"editing","and",5
"editing","is",5
"edition","is",5
"editions","of",5
"editor","at",5
"educate","the",5
"effect","and",5
"effect","is",5
"effort","in",5
"efforts","by",5
"efforts","of",5
"egg","hunt",5
"either","by",5
"either","i",5
"either","my",5
"election","and",5
"elements","and",5
"elements","in",5
"else","but",5
"else","feel",5
"email","at",5
"email","if",5
"email","on",5
"emails","to",5
"embodiment","of",5
"embossed","the",5
"embroiled","in",5
"emerald","city",5
"emma","is",5
"emotion","of",5
"emotions","and",5
"employee","of",5
"employees","in",5
"employees","to",5
"employees","who",5
"empowered","to",5
"enable","the",5
"encourages","us",5
"encouraging","the",5
"end","my",5
"end","on",5
"enemies","of",5
"enemy","for",5
"energy","from",5
"enforcement","of",5
"engineering","and",5
"enjoy","each",5
"enjoy","going",5
"enjoy","making",5
"enjoy","that",5
"enjoy","their",5
"enjoyable","and",5
"enjoyed","looking",5
"enjoyed","seeing",5
"enjoyed","some",5
"enjoyed","working",5
"enjoying","an",5
"enlarge","the",5
"enough","by",5
"enough","room",5
"enough","the",5
"enough","with",5
"ensure","a",5
"enters","the",5
"entertained","by",5
"entertaining","to",5
"enthusiasm","and",5
"entirety","of",5
"entrusted","to",5
"entry","is",5
"entry","level",5
"envious","of",5
"environment","is",5
"environment","that",5
"environmental","and",5
"environmental","protection",5
"episode","on",5
"episode","was",5
"episode","where",5
"episode","with",5
"equal","opportunity",5
"equal","rights",5
"equally","to",5
"equipped","with",5
"error","on",5
"especially","on",5
"essential","that",5
"est","to",5
"established","a",5
"established","by",5
"european","and",5
"eve","of",5
"even","being",5
"even","bigger",5
"even","brought",5
"even","by",5
"even","consider",5
"even","describe",5
"even","do",5
"even","looked",5
"even","looking",5
"even","managed",5
"even","notice",5
"even","our",5
"even","remotely",5
"even","tell",5
"even","use",5
"even","used",5
"even","went",5
"even","without",5
"even","your",5
"evening","we",5
"eventually","led",5
"ever","after",5
"ever","asked",5
"ever","for",5
"ever","gave",5
"ever","having",5
"ever","hear",5
"ever","noticed",5
"ever","sit",5
"ever","taken",5
"ever","there",5
"ever","told",5
"ever","try",5
"ever","use",5
"ever","was",5
"every","chance",5
"every","country",5
"every","couple",5
"every","dollar",5
"every","evening",5
"every","family",5
"every","female",5
"every","five",5
"every","guy",5
"every","individual",5
"every","kind",5
"every","line",5
"every","little",5
"every","major",5
"every","opportunity",5
"every","penny",5
"every","project",5
"every","right",5
"every","season",5
"every","song",5
"every","story",5
"every","way",5
"everybody","and",5
"everybody","just",5
"everyday","life",5
"everyday","that",5
"everyday","to",5
"everyone","does",5
"everyone","get",5
"everyone","gets",5
"everyone","got",5
"everyone","just",5
"everyone","keeps",5
"everyone","seemed",5
"everyone","talking",5
"everyone","up",5
"everyone","we",5
"everything","happens",5
"everything","went",5
"everywhere","i",5
"evidence","for",5
"evil","and",5
"exactly","in",5
"examines","the",5
"examining","the",5
"example","i",5
"excellent","way",5
"exceptions","to",5
"excited","are",5
"excited","at",5
"excited","but",5
"excitement","is",5
"exciting","stuff",5
"exciting","than",5
"exciting","time",5
"exclusive","to",5
"exercise","in",5
"exercise","of",5
"existence","in",5
"expanded","the",5
"expect","anything",5
"expect","your",5
"expecting","that",5
"expects","to",5
"expensive","as",5
"experience","this",5
"experiencing","some",5
"experiencing","the",5
"experimented","with",5
"experts","and",5
"explode","of",5
"explore","a",5
"exploring","the",5
"exposure","and",5
"expressed","are",5
"extend","the",5
"extended","family",5
"extended","to",5
"extent","to",5
"extra","day",5
"extra","in",5
"extra","mile",5
"extract","and",5
"eye","color",5
"eyes","with",5
"fabric","and",5
"face","down",5
"face","into",5
"facebook","friends",5
"facebook","will",5
"faced","by",5
"facial","expressions",5
"facilities","and",5
"fact","this",5
"factor","for",5
"factor","is",5
"factors","that",5
"faculty","and",5
"faded","and",5
"failed","in",5
"fair","bit",5
"fair","share",5
"fairly","certain",5
"fairly","sure",5
"faith","to",5
"fall","and",5
"fall","from",5
"fall","over",5
"fallen","for",5
"falling","apart",5
"familiar","to",5
"familiarity","with",5
"family","fun",5
"family","have",5
"fan","is",5
"fans","can",5
"fantastic","job",5
"far","are",5
"far","but",5
"far","for",5
"far","removed",5
"far","with",5
"far","worse",5
"farmer's","market",5
"farther","away",5
"fashion","show",5
"fast","enough",5
"fast","time",5
"faster","and",5
"fat","tuesday",5
"father's","day",5
"father","for",5
"fatigue","is",5
"fault","that",5
"favorite","character",5
"favorite","day",5
"favorite","moment",5
"favorite","movies",5
"favorite","parts",5
"favorite","word",5
"favorites","is",5
"fb","for",5
"fear","in",5
"fearing","that",5
"feature","on",5
"feature","the",5
"feed","them",5
"feeding","the",5
"feel","confident",5
"feel","his",5
"feel","it's",5
"feel","me",5
"feel","old",5
"feel","rather",5
"feel","safe",5
"feel","some",5
"feel","strongly",5
"feel","there",5
"feel","too",5
"feeling","great",5
"feeling","her",5
"feeling","my",5
"feeling","so",5
"feeling","you",5
"feels","great",5
"fell","for",5
"felt","compelled",5
"felt","guilty",5
"felt","much",5
"felt","something",5
"fest","in",5
"festival","has",5
"few","episodes",5
"few","ideas",5
"few","miles",5
"few","photos",5
"few","places",5
"few","seconds",5
"ff","and",5
"ff","for",5
"fi","and",5
"fiction","and",5
"field","is",5
"fields","of",5
"fight","over",5
"fighting","to",5
"figure","i",5
"figure","is",5
"figured","we",5
"fill","you",5
"fill","your",5
"filled","and",5
"filled","in",5
"filled","it",5
"film","does",5
"film","i",5
"final","book",5
"final","cut",5
"final","exam",5
"final","preparations",5
"final","round",5
"finally","feel",5
"finally","find",5
"finally","finished",5
"finally","gotten",5
"finally","it",5
"finally","meet",5
"finally","realized",5
"finally","said",5
"finally","see",5
"finally","went",5
"financial","crisis",5
"find","new",5
"finding","an",5
"finding","myself",5
"fine","folks",5
"finger","in",5
"finger","on",5
"fingers","for",5
"finish","our",5
"finish","your",5
"finished","in",5
"finished","product",5
"finished","this",5
"finished","working",5
"finishing","the",5
"finishing","touches",5
"finna","go",5
"fired","up",5
"fireworks","and",5
"firm","and",5
"firm","in",5
"firms","are",5
"first","album",5
"first","appearance",5
"first","big",5
"first","blog",5
"first","came",5
"first","choice",5
"first","easter",5
"first","experience",5
"first","female",5
"first","home",5
"first","let",5
"first","major",5
"first","pair",5
"first","picture",5
"first","piece",5
"first","taste",5
"first","that",5
"first","they",5
"first","with",5
"fish","fry",5
"fish","that",5
"fit","a",5
"fit","me",5
"fits","into",5
"fitting","that",5
"five","people",5
"fix","my",5
"fix","your",5
"flavor","is",5
"flew","into",5
"flight","back",5
"flour","is",5
"flowers","for",5
"flowers","on",5
"flowers","were",5
"fly","fishing",5
"flying","into",5
"focus","my",5
"focus","was",5
"focus","will",5
"folk","and",5
"folks","from",5
"folks","to",5
"follow","along",5
"follow","because",5
"follow","i",5
"follow","or",5
"follow","people",5
"followed","and",5
"followed","my",5
"followed","this",5
"followed","u",5
"follower","and",5
"followers","that",5
"followers","who",5
"followers","will",5
"following","in",5
"follows","on",5
"fond","memories",5
"fondness","for",5
"food","of",5
"food","will",5
"foot","of",5
"football","club",5
"football","team",5
"for","action",5
"for","adults",5
"for","american",5
"for","android",5
"for","austin",5
"for","breaking",5
"for","building",5
"for","congress",5
"for","current",5
"for","days",5
"for","digital",5
"for","driving",5
"for","eating",5
"for","eight",5
"for","election",5
"for","excellence",5
"for","families",5
"for","few",5
"for","finals",5
"for","fresh",5
"for","global",5
"for","guys",5
"for","ideas",5
"for","individual",5
"for","jobs",5
"for","la",5
"for","living",5
"for","lots",5
"for","low",5
"for","mac",5
"for","members",5
"for","mobile",5
"for","old",5
"for","on",5
"for","participating",5
"for","patients",5
"for","pictures",5
"for","planting",5
"for","pointing",5
"for","quality",5
"for","recording",5
"for","research",5
"for","retweeting",5
"for","rich",5
"for","rt",5
"for","ruining",5
"for","season",5
"for","she",5
"for","short",5
"for","specific",5
"for","sponsoring",5
"for","standing",5
"for","sticking",5
"for","tomorrows",5
"for","tonights",5
"for","truth",5
"for","understanding",5
"for","what's",5
"for","whoever",5
"for","with",5
"force","of",5
"force","that",5
"forced","into",5
"forces","have",5
"forces","in",5
"foreign","policy",5
"forest","city",5
"forgetting","that",5
"forgetting","the",5
"forgotten","to",5
"form","in",5
"form","to",5
"formed","the",5
"forms","the",5
"fortune","to",5
"forward","into",5
"forward","with",5
"found","another",5
"found","dead",5
"found","its",5
"foundation","and",5
"founded","by",5
"four","and",5
"four","in",5
"four","new",5
"foward","to",5
"fraction","of",5
"frame","and",5
"france","is",5
"francisco","is",5
"frank","and",5
"frank","is",5
"free","admission",5
"free","as",5
"free","beer",5
"free","doesn't",5
"free","for",5
"free","music",5
"free","range",5
"free","with",5
"freelance","writer",5
"fresh","prince",5
"friday","afternoon",5
"friday","morning",5
"friday","we",5
"friend","if",5
"friends","got",5
"friends","like",5
"friends","or",5
"friends","we",5
"frightened","of",5
"from","amazon",5
"from","american",5
"from","as",5
"from","at",5
"from","black",5
"from","boston",5
"from","everyone",5
"from","failure",5
"from","far",5
"from","good",5
"from","google",5
"from","heat",5
"from","knowing",5
"from","living",5
"from","looking",5
"from","nothing",5
"from","ny",5
"from","ohio",5
"from","outside",5
"from","running",5
"from","several",5
"from","texas",5
"from","whatever",5
"frosting","is",5
"frozen","in",5
"fruit","or",5
"frustrating","to",5
"fulfill","your",5
"full","name",5
"full","page",5
"full","sail",5
"full","view",5
"full","well",5
"fun","creating",5
"fun","doing",5
"fun","i",5
"fun","last",5
"fun","little",5
"fun","part",5
"fun","run",5
"fun","watching",5
"fund","is",5
"funniest","thing",5
"funny","about",5
"funny","because",5
"further","from",5
"further","up",5
"gaga","is",5
"gallons","of",5
"game","last",5
"game","night",5
"game","show",5
"game","the",5
"game","they",5
"games","to",5
"gamut","of",5
"garden","for",5
"gardens","and",5
"garlic","in",5
"gateway","to",5
"gathered","a",5
"gathered","all",5
"gathering","with",5
"gay","men",5
"geared","towards",5
"geared","up",5
"geeking","out",5
"generally","a",5
"generally","not",5
"generated","a",5
"genius","of",5
"george","and",5
"george","strait",5
"get","closer",5
"get","everyone",5
"get","extra",5
"get","inspired",5
"get","knocked",5
"get","left",5
"get","lots",5
"get","onto",5
"get","picked",5
"get","scared",5
"get","where",5
"get","wit",5
"get","yo",5
"gets","her",5
"gets","him",5
"gets","that",5
"gets","used",5
"getting","dressed",5
"getting","his",5
"getting","lost",5
"getting","new",5
"getting","there",5
"getting","tired",5
"getting","very",5
"ghosts","and",5
"giddy","with",5
"gift","wrap",5
"girl","by",5
"girl","can",5
"girl","had",5
"girl","of",5
"girl","so",5
"girl","u",5
"girl","will",5
"girlfriend","is",5
"girls","always",5
"girls","go",5
"girls","just",5
"girls","need",5
"girls","night",5
"gist","of",5
"give","anything",5
"give","for",5
"give","good",5
"give","our",5
"given","an",5
"given","time",5
"gives","her",5
"gives","this",5
"giving","myself",5
"giving","one",5
"giving","people",5
"giving","that",5
"giving","to",5
"glad","for",5
"glad","it's",5
"glad","she",5
"glasses","of",5
"glimpses","of",5
"glory","in",5
"glue","on",5
"go","far",5
"go","kill",5
"go","my",5
"go","play",5
"go","somewhere",5
"go","until",5
"go","when",5
"goals","that",5
"god","be",5
"god","this",5
"god","through",5
"god","uses",5
"god","we",5
"god","you",5
"goes","against",5
"goes","and",5
"goes","away",5
"goes","beyond",5
"goes","far",5
"goes","something",5
"goes","up",5
"going","a",5
"going","as",5
"going","but",5
"going","great",5
"going","ham",5
"going","hard",5
"going","strong",5
"going","when",5
"goldman","sachs",5
"gone","a",5
"gone","down",5
"gone","from",5
"gone","get",5
"gone","out",5
"gone","up",5
"gone","with",5
"gonna","bring",5
"gonna","happen",5
"gonna","hate",5
"gonna","put",5
"gonna","win",5
"good","advice",5
"good","afternoon",5
"good","all",5
"good","business",5
"good","bye",5
"good","care",5
"good","conference",5
"good","conversation",5
"good","evening",5
